Date,Index
1969.041667,105.8219013
1969.125,105.725688
1969.208333,105.730624
1969.291667,105.2457166
1969.375,105.4433916
1969.458333,105.1576891
1969.541667,105.5492202
1969.625,105.6491682
1969.708333,106.1286019
1969.791667,106.4146656
1969.875,106.3196525
1969.958333,106.4136575
1970.041667,107.1634593
1970.125,107.3455439
1970.208333,107.3401727
1970.291667,106.964014
1970.375,107.5132237
1970.458333,107.6897511
1970.541667,107.4101105
1970.625,108.409697
1970.708333,108.9414807
1970.791667,108.9281719
1970.875,109.0044922
1970.958333,109.0800455
1971.041667,109.3471803
1971.125,108.8066619
1971.208333,108.5346453
1971.291667,108.6175004
1971.375,108.8699171
1971.458333,109.2002342
1971.541667,109.1060808
1971.625,109.1861137
1971.708333,109.4467011
1971.791667,109.5257056
1971.875,110.3922064
1971.958333,110.1137034
1972.041667,110.4586171
1972.125,110.1811411
1972.208333,109.8293995
1972.291667,109.735545
1972.375,109.8125257
1972.458333,110.2290882
1972.541667,110.8025018
1972.625,110.9605897
1972.708333,110.6128451
1972.791667,110.0060707
1972.875,109.8302071
1972.958333,109.655171
1973.041667,109.1481879
1973.125,108.3849138
1973.208333,107.4655148
1973.291667,106.7260732
1973.375,106.2389238
1973.458333,105.7583874
1973.541667,105.4396554
1973.625,104.512297
1973.708333,104.6731092
1973.791667,104.5321145
1973.875,104.3121645
1973.958333,104.3252002
1974.041667,104.2662687
1974.125,103.7667795
1974.208333,103.5763979
1974.291667,103.513995
1974.375,102.7464955
1974.458333,102.4863589
1974.541667,102.1586945
1974.625,101.8542271
1974.708333,101.6270196
1974.791667,101.4648739
1974.875,101.4337656
1974.958333,102.2225561
1975.041667,103.7091125
1975.125,103.0860505
1975.208333,102.9831068
1975.291667,102.7757753
1975.375,102.5099323
1975.458333,101.6690842
1975.541667,101.0726068
1975.625,101.4775549
1975.708333,101.9153912
1975.791667,102.0561296
1975.875,102.0066672
1975.958333,101.9590712
1976.041667,102.2067162
1976.125,102.0666277
1976.208333,102.7682572
1976.291667,103.4126276
1976.375,103.8885978
1976.458333,103.6638635
1976.541667,103.9811073
1976.625,104.1086473
1976.708333,104.4938354
1976.791667,104.2961036
1976.875,104.7249989
1976.958333,105.2327758
1977.041667,105.5746159
1977.125,105.7373909
1977.208333,106.5441409
1977.291667,107.5499336
1977.375,108.3384399
1977.458333,108.4282332
1977.541667,108.9999219
1977.625,109.7345554
1977.708333,110.8059234
1977.791667,111.8529666
1977.875,112.4688801
1977.958333,113.1162278
1978.041667,113.5186376
1978.125,114.0588046
1978.208333,114.7286471
1978.291667,115.3176872
1978.375,115.8140995
1978.458333,116.3034836
1978.541667,117.053296
1978.625,118.0611924
1978.708333,118.3994344
1978.791667,118.4727687
1978.875,119.1772149
1978.958333,120.0524117
1979.041667,120.589261
1979.125,120.6949841
1979.208333,121.0755782
1979.291667,121.2584062
1979.375,121.2882435
1979.458333,121.4703385
1979.541667,121.487456
1979.625,121.5470694
1979.708333,121.2561149
1979.791667,121.3442837
1979.875,121.0821858
1979.958333,120.5501801
1980.041667,119.4645595
