DATE,SPCS20RSA
2000-01-01,100.589697241621
2000-02-01,101.69247933436701
2000-03-01,102.78382833997802
2000-04-01,103.996443524217
2000-05-01,105.252817413713
2000-06-01,106.402521521516
2000-07-01,107.13402063613
2000-08-01,107.86143933042901
2000-09-01,108.610140682333
2000-10-01,109.486859162469
2000-11-01,110.57170765667401
2000-12-01,111.800872700877
2001-01-01,113.053498565721
2001-02-01,114.126858012052
2001-03-01,115.08519508637501
2001-04-01,115.840549729806
2001-05-01,116.30074115777201
2001-06-01,116.899747642016
2001-07-01,117.496602637599
2001-08-01,118.245230732383
2001-09-01,119.027953398164
2001-10-01,119.694048902515
2001-11-01,120.274743982008
2001-12-01,120.672264781327
2002-01-01,121.360321230784
2002-02-01,122.190820800486
2002-03-01,123.321473969702
2002-04-01,124.507752079598
2002-05-01,125.92446582643801
2002-06-01,127.38847447569599
2002-07-01,128.87959006749
2002-08-01,130.307283744202
2002-09-01,131.526919767819
2002-10-01,132.846629289335
2002-11-01,134.096961883599
2002-12-01,135.405258065928
2003-01-01,136.466799576844
2003-02-01,137.452833333206
2003-03-01,138.378832377416
2003-04-01,139.250032561215
2003-05-01,140.146996943462
2003-06-01,140.919718036635
2003-07-01,142.118879493404
2003-08-01,143.551848140616
2003-09-01,145.261266848099
2003-10-01,146.9904474331
2003-11-01,148.82290344865
2003-12-01,150.758960824673
2004-01-01,152.625097933775
2004-02-01,154.536552309864
2004-03-01,156.91826289589898
2004-04-01,159.359617671153
2004-05-01,161.75116134106
2004-06-01,164.30545836868998
2004-07-01,166.387169322917
2004-08-01,168.071576484037
2004-09-01,169.65428433402
2004-10-01,171.296978170656
2004-11-01,173.0868387139
2004-12-01,175.08606006442199
2005-01-01,177.546104283391
2005-02-01,180.249556175176
2005-03-01,183.188064723639
2005-04-01,185.51472856653703
2005-05-01,187.549759332259
2005-06-01,189.530314308144
2005-07-01,191.37924748388699
2005-08-01,193.367509688773
2005-09-01,195.62005415146498
