DATE,SPCS20RSA
2005-10-01,197.882884228405
2005-11-01,200.148170081606
2005-12-01,202.177139424629
2006-01-01,203.77133596445
2006-02-01,205.362942967592
2006-03-01,206.14721912562803
2006-04-01,206.656084797626
2006-05-01,206.509669086526
2006-06-01,205.80736761361698
2006-07-01,204.936447760904
2006-08-01,204.11169823041402
2006-09-01,203.585422852124
2006-10-01,203.549229600547
2006-11-01,203.652658362318
2006-12-01,203.47506955042599
2007-01-01,203.74278743757702
2007-02-01,204.070767529288
2007-03-01,203.949959285556
2007-04-01,202.881013904539
2007-05-01,201.03339598924802
2007-06-01,198.847238896034
2007-07-01,196.844523198186
2007-08-01,194.8929471772
2007-09-01,193.124596674575
2007-10-01,190.979089363518
2007-11-01,187.90444147779098
2007-12-01,185.09943861014702
2008-01-01,182.139973708681
2008-02-01,178.55079900109402
2008-03-01,175.117072534033
2008-04-01,172.442865387261
2008-05-01,169.560108202602
2008-06-01,167.177591757937
2008-07-01,164.399635045472
2008-08-01,162.116041281706
2008-09-01,159.113962046332
2008-10-01,156.295673721994
2008-11-01,153.658225260109
2008-12-01,150.72711857129102
2009-01-01,147.71575817880301
2009-02-01,145.613469455821
2009-03-01,142.723634993877
2009-04-01,141.560393956259
2009-05-01,140.841103287312
2009-06-01,141.290750939029
2009-07-01,142.249693033727
2009-08-01,143.476774687086
2009-09-01,144.07102149600402
2009-10-01,144.794362548529
2009-11-01,145.472339061173
2009-12-01,146.24589802625098
2010-01-01,146.93085041292298
2010-02-01,146.913650755398
2010-03-01,146.235345523145
2010-04-01,147.061851195221
2010-05-01,147.26840416527
2010-06-01,147.040067402879
2010-07-01,146.405330069866
2010-08-01,145.543621426596
2010-09-01,144.55246203738997
2010-10-01,143.623691846752
2010-11-01,143.278237357158
2010-12-01,142.963488664922
2011-01-01,142.587914282521
2011-02-01,142.045933344946
2011-03-01,140.434629421641
2011-04-01,140.69078084651198
2011-05-01,140.42415223255801
2011-06-01,140.359236886411
2011-07-01,140.32370765142798
2011-08-01,140.049878302001
2011-09-01,139.420241013635
2011-10-01,138.653879621855
2011-11-01,137.93398033759502
2011-12-01,137.364272635133
2012-01-01,137.142260346643
2012-02-01,137.008378946339
2012-03-01,136.641321175722
2012-04-01,137.882718781266
2012-05-01,139.452817929996
2012-06-01,141.017508182155
2012-07-01,141.96188166219298
2012-08-01,142.94917521033997
2012-09-01,143.821558512021
2012-10-01,144.794424520403
2012-11-01,145.794133448406
2012-12-01,147.093730199112
2013-01-01,148.321206225151
2013-02-01,149.58637674751898
2013-03-01,151.02951034283
2013-04-01,153.87389808106101
2013-05-01,156.010605492109
2013-06-01,157.82849650596398
2013-07-01,159.593655666889
2013-08-01,161.540180907934
2013-09-01,163.267893237274
2013-10-01,164.780714062666
2013-11-01,165.986325155484
2013-12-01,166.884977441572
2014-01-01,167.828723615849
2014-02-01,168.500088627618
2014-03-01,169.360424348234
2014-04-01,169.958046935196
2014-05-01,170.242037056868
2014-06-01,170.520928228919
2014-07-01,170.601587120948
2014-08-01,170.911987392526
2014-09-01,171.429603022033
2014-10-01,172.357858271189
2014-11-01,173.13121466373403
2014-12-01,174.16463585064201
2015-01-01,174.999452540645
2015-02-01,176.341261907059
2015-03-01,177.328409672851
2015-04-01,177.759995789234
2015-05-01,178.302490338567
2015-06-01,178.810435147504
2015-07-01,179.29726815182
2015-08-01,179.879800114863
2015-09-01,180.800723287615
2015-10-01,181.82552104752898
2015-11-01,182.94927984203701
2015-12-01,183.797885028876
2016-01-01,184.62397752888
2016-02-01,185.462296757374
2016-03-01,186.70369255949402
2016-04-01,187.03368790628002
2016-05-01,187.477369251054
2016-06-01,188.016664434099
2016-07-01,188.565061374756
2016-08-01,189.30949259336103
2016-09-01,190.139400049171
2016-10-01,191.088562101044
2016-11-01,192.38666148833
2016-12-01,193.701899452079
2017-01-01,194.932702260986
2017-02-01,196.05021657967498
2017-03-01,197.47180186598098
2017-04-01,197.431051859598
2017-05-01,198.11214617833
2017-06-01,198.655616555126
2017-07-01,199.602757449514
2017-08-01,200.497179339467
2017-09-01,201.917193232297
2017-10-01,203.17590495129699
2017-11-01,204.60404703883
2017-12-01,205.824036785259
2018-01-01,207.27591667183898
2018-02-01,209.104262224525
2018-03-01,210.74329278143003
2018-04-01,210.47765957102501
2018-05-01,210.986291304723
2018-06-01,211.328693408824
2018-07-01,211.51331009167802
